"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Wages and Salaries - Other Employees","2018","50 - 249","Euro Thousand",""
"Wages and Salaries - Other Employees","2018","250 and over","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","0 - 9","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","10 - 49","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","50 - 249","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2008","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2008","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2008","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2008","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2009","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2009","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2009","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2009","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2010","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2010","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2010","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2010","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2011","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2011","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2011","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2011","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2012","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2012","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2012","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2012","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2013","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2013","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2013","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2013","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2014","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2014","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2014","50 - 249","Euro Thousand",""
